"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM229A",6.56059773145582,-1.32289368477465,0.276430739808675,-4.78562436902009,1.70456594131516e-06,0.000437823126045496
"RPSAP24",0.743255216072473,-1.57156520302253,0.36179059666647,-4.34385309486452,1.40005157336934e-05,0.00227539355264849
"LINC01102",0.914497174083501,-1.34577002982428,0.409758454261485,-3.28430082608005,0.00102235732411929,0.0426718005851152
"PHACTR2-AS1",2.81760930700206,-1.09265874087873,0.266511897261945,-4.09984977070195,4.13418415184726e-05,0.00520029396908732
"LINC01695",2.01583776528643,-1.07314132656857,0.268079277048676,-4.0030745322165,6.25245938430411e-05,0.00675449509369088
"MAPK6P3",4.64500087169261,-1.30244587380571,0.231302673416695,-5.63091578046455,1.79255249155686e-08,7.31560589054262e-06
"RBMY2TP",2.18525951115403,-4.46600341314964,0.287628224156358,-15.5269999189018,2.27790071269148e-54,2.98811761346993e-51
"LINC02570",0.841986492436594,-1.68480758903146,0.352253621269818,-4.78293901694466,1.72750547925782e-06,0.000440633862869027
"AL627309.1",0.906337651795619,-1.12131401438697,0.268110359050502,-4.18228530355204,2.8859349902676e-05,0.00404581649589805
"SCARNA7",31.9802017187233,-1.40436900831223,0.278168712761406,-5.04862316962584,4.45005525735846e-07,0.000129336343246898
"AC092104.1",1.3249674074672,-1.57433783382926,0.382514948903379,-4.11575505308403,3.85913979546223e-05,0.00490471296495944
"RN7SL507P",0.984728452928771,-1.69637972736001,0.522958248401462,-3.24381484094643,0.00117940386804097,0.0470352921532517
"AC092910.1",1.66911711820122,-1.27092266105114,0.344589212864637,-3.6882253233806,0.000225823631365181,0.0162319021135873
"ZNF736P9Y",15.8042255037911,-7.26937865051404,0.259257345875823,-28.0392388726986,5.4037794907903e-173,1.10267122609293e-169
"LINC02042",1.75650127932481,-1.50402993882171,0.459819908883482,-3.27091087133165,0.00107201690982537,0.0441425797061499
"ANOS2P",11.5417790093613,-6.7217376435106,0.192238073824622,-34.9656938908097,7.47792440291991e-268,1.83109442212832e-264
"AC109466.1",0.810306170748053,-1.19520375261662,0.320289345254034,-3.73163756561634,0.000190239075504268,0.0144071778211789
"AC097493.1",1.58640215781295,-1.16525712692515,0.286460542877883,-4.06777532158029,4.74641125045927e-05,0.00562373178159254
"CCDC169",8.44619009871399,-1.08214125962313,0.231192399163232,-4.6806956610156,2.85903098322693e-06,0.000664634227936236
"CD200R1L-AS1",0.934677315667635,-1.69340285949192,0.510015041501312,-3.32029983764226,0.000899208149283394,0.0396018169342675
"AC004223.1",2.10304444597559,-1.05167642443564,0.289092932285019,-3.63784896477088,0.000274924558168977,0.0186309576043294
"C8orf34-AS1",3.11321909942156,-1.1862235585791,0.359869737169957,-3.2962581624886,0.000979819319506438,0.0415095312635196
"SCARNA22",4.6126347413348,-1.05206906226581,0.197229736115806,-5.33423145507874,9.59500717803151e-08,3.17499651936124e-05
"VCAN-AS1",1.86522799578752,-1.60564125615387,0.415626579543025,-3.86318232563289,0.00011191940967418,0.0105948451477645
"AC116424.1",0.986198380089838,-1.06985904640805,0.319289323800953,-3.35075107952875,0.000805927112647001,0.0369981538721812
"AC110760.3",0.850509362340148,-1.3310985058537,0.347836047961006,-3.82679861289971,0.00012982063942367,0.0117209000475314
"AC018797.2",2.21238352859736,-1.45777446465498,0.262905316152734,-5.54486491938447,2.94181190789297e-08,1.16185754168719e-05
"LINC02160",0.61859609109033,-1.36630165364911,0.396981065348306,-3.44173002924039,0.000578006798661237,0.0298050381626552
"RNA5-8SP6",1.99257139485381,-2.28907016538717,0.419692620006145,-5.4541587253873,4.9205236219477e-08,1.86320446014576e-05
"SCARNA6",23.5847051272066,-1.64056965900428,0.219681468100706,-7.46794744767554,8.14553596570711e-14,5.54047288926708e-11
"SCARNA23",1.42483329994465,-2.28230019849064,0.53123320742144,-4.29623029322419,1.73727105352243e-05,0.00268109099982684
"RNU7-84P",0.794731869995993,-1.6688195096763,0.518168201187537,-3.22061351092503,0.00127916525168672,0.0486316993028953
"SCARNA11",1.10336930448091,-1.7001664960844,0.46962371578682,-3.62027393194123,0.000294291282574394,0.019574166047353
"RF00426",1.39613727096387,-1.14979531340963,0.255391983029435,-4.50208068307733,6.72914251694853e-06,0.00128966549218271
"RNA5SP243",1.02474927920876,-2.48569907212771,0.617223631834055,-4.02722602299195,5.64387728949505e-05,0.00630090008641803
"AC018541.1",2.63116164318871,-1.03375365098954,0.319433668207478,-3.2362075569257,0.00121129272876461,0.0473962409624255
"IGLV3-31",1.31453189517698,-1.15815431535693,0.341486999361436,-3.39150338818938,0.000695103036771891,0.033960257155313
"AC022730.4",2.57862807335147,-1.66193824931169,0.292256181502285,-5.6865803172026,1.29608444292253e-08,5.47185995270628e-06
"AC012349.1",1.0314431049433,-1.28527677679687,0.395578079800096,-3.24911020713377,0.00115766617531173,0.0463697694865865
"AC004923.2",0.749118501052617,-1.19980765205177,0.371535395584317,-3.22932260643653,0.00124083834839084,0.0479405031867649
"SPESP1",22.9249970646207,-1.21767917238956,0.164494252092724,-7.40256365738036,1.33580121987982e-13,8.92072341930652e-11
"LINC00645",0.777724671895446,-2.31339087730162,0.580426789281511,-3.98567212958121,6.72893756810563e-05,0.00710212289875057
"AL079303.1",2.80184902539237,-1.51411198939597,0.387147563094973,-3.91094283867295,9.19365304684221e-05,0.00920116829456442
"LINC00871",2.09415690414592,-1.3036371277189,0.316196498411431,-4.12287022237236,3.74180533216801e-05,0.00480547237239618
"AC026523.1",1.83770042070138,-1.64443188986173,0.288505336359676,-5.69983179725881,1.19925696082614e-08,5.12194281059814e-06
"LINC00567",0.850981323087283,-1.07115491529555,0.281661225730272,-3.80299032115027,0.000142959943090148,0.0124625180023999
"AC010889.1",16.4030193288843,-7.1363609277105,0.189721572367927,-37.614915576764,0,0
"MIR3145",1.2540848057469,-1.20525792686141,0.310522701927504,-3.88138425751171,0.00010386358094138,0.0100664676856363
"AC009977.1",4.26298114728265,-5.43916003919117,0.219630093354957,-24.7650946011329,2.13225863610151e-135,3.91589298520042e-132
"AL445435.1",2.60959287194796,-1.12210880071016,0.24554701213507,-4.56983284363043,4.88113376792457e-06,0.00104234908892947
"AC005072.1",2.75637612866735,-1.10948184818815,0.247020482727159,-4.49145688624374,7.07376215536589e-06,0.00133240658444405
"AC011297.1",7.39182693743244,-6.05361043329548,0.298618547110801,-20.2720510559892,2.26996233188333e-91,3.20675832500287e-88
"AC025031.3",1.5674887791221,-1.1479064593138,0.293352151986503,-3.91306643411505,9.11314498891683e-05,0.00914551408313976
"AL133370.2",2.01962680370471,-1.167267878699,0.323795999464598,-3.60494842625942,0.000312214923600347,0.0203327201131928
"ANKRD20A21P",3.80124735968726,-1.06861893807663,0.198446692361384,-5.3849168527869,7.24781449724968e-08,2.51143609890548e-05
"OFD1P16Y",2.92853796949036,-4.91918424601518,0.271692116113053,-18.105730546735,2.87175996595137e-73,3.90665716849607e-70
"AC134878.2",2.63532779483104,-1.3423533251769,0.205674454957784,-6.52659235417652,6.72828371839367e-11,3.48070226727605e-08
"RF02119",1.29575775224345,-1.22097260490641,0.322283486106824,-3.78850501977538,0.000151556531168264,0.013036165176395
"AC006157.1",2.07564793228706,-4.44950876318652,0.200393874124589,-22.2038162724483,3.15495079691941e-109,5.26733376231137e-106
"AC078925.2",0.933966363870399,-1.61455272928134,0.43261199623737,-3.73210346297345,0.000189887473234382,0.0144071778211789
"AC007494.3",1.06296099476449,-1.21232561334003,0.314066270085464,-3.86009491885306,0.000113342989262089,0.0107020256956209
"JAKMIP2-AS1",0.654107706499732,-1.56180973106885,0.398422610666624,-3.91998267481783,8.85553345452987e-05,0.00893581713694732
"RPS4Y2",0.597661420440043,-2.24197610468837,0.267427173657085,-8.38350147454795,5.13760330637782e-17,4.2887311237104e-14
